City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,champoton,19.35,-90.7167,297.74,77,8,3.53,MX,1739158095
160,margaret river,-33.95,115.0667,295.89,64,34,4.49,AU,1739158096
161,greymouth,-42.4667,171.2,293.19,72,100,3.81,NZ,1739158097
162,herriman,40.5141,-112.033,271.33,62,0,2.06,US,1739158098
163,kani keli,-12.9536,45.1033,299.74,72,92,1.8,YT,1739158099
164,turtas,58.9417,69.1325,270.41,91,100,4.01,RU,1739158100
165,marquette,46.5333,-87.6335,261.3,77,60,3.21,US,1739158101
166,punta arenas,-53.15,-70.9167,283.21,71,75,2.06,CL,1739158102
167,ulladulla,-35.35,150.4667,296.5,73,70,4.89,AU,1739158103
168,tiksi,71.6872,128.8694,246.0,97,54,3.02,RU,1739158104
169,saint-philippe,-21.3585,55.7679,300.11,84,47,2.74,RE,1739158105
170,andilamena,-17.0167,48.5833,292.23,95,23,0.51,MG,1739158106
171,jiuquan,39.7432,98.5174,271.83,33,0,0.63,CN,1739158107
172,morehead city,34.7229,-76.726,284.25,76,100,6.26,US,1739158108
173,opole lubelskie,51.1478,21.969,270.53,39,0,4.39,PL,1739158112
174,quellon,-43.1167,-73.6167,285.47,83,90,6.68,CL,1739158113
175,new norfolk,-42.7826,147.0587,293.66,34,1,3.29,AU,1739158114
176,sinabang,2.4803,96.3801,302.4,68,41,0.75,ID,1739158115
177,tsiombe,-25.3,45.4833,297.45,95,8,1.63,MG,1739158116
178,eyl,7.9803,49.8164,295.08,88,91,4.98,SO,1739158117
179,kyaukse,21.6,96.1333,295.15,73,0,1.03,MM,1739158118
180,nanao,37.05,136.9667,275.54,85,100,1.99,JP,1739158119
181,remire-montjoly,4.9167,-52.2667,298.17,94,75,2.06,GF,1739158120
182,puerto madero,14.7208,-92.4215,298.26,88,40,1.54,MX,1739158121
183,vilyuchinsk,52.9306,158.4028,274.3,71,89,0.88,RU,1739158122
184,aasiaat,68.7098,-52.8699,251.87,97,99,3.83,GL,1739158123
185,jincheng,35.5022,112.8328,276.74,23,0,0.9,CN,1739158124
186,karnobat,42.65,26.9833,268.64,56,0,3.82,BG,1739158125
187,vorkuta,67.5,64.0,265.61,93,100,7.89,RU,1739158126
188,chibougamau,49.9168,-74.3659,246.94,84,0,0.0,CA,1739158127
189,broken hill,-31.95,141.4333,306.7,16,0,4.81,AU,1739158129
190,luderitz,-26.6481,15.1594,289.96,72,0,9.36,NA,1739158130
191,gadzhiyevo,69.2551,33.3362,271.24,79,32,15.01,RU,1739158131
192,lebu,-37.6167,-73.65,289.69,90,98,4.6,CL,1739158132
